t,failures,unreliability,reliability
1,264,0.0264,0.9736
2,227,0.0491,0.9509
3,209,0.07,0.93
4,197,0.0897,0.9103
5,186,0.1083,0.8917
6,177,0.126,0.874
7,170,0.143,0.857
8,164,0.1594,0.8406
9,158,0.1752,0.8248
10,153,0.1905,0.8095
11,149,0.2054,0.7946
12,145,0.2199,0.7801
13,141,0.234,0.766
14,138,0.2478,0.7522
15,134,0.2612,0.7388
16,131,0.2743,0.7257
17,129,0.2872,0.7128
18,127,0.2999,0.7001
19,125,0.3124,0.6876
20,123,0.3247,0.6753
21,121,0.3368,0.6632
22,120,0.3488,0.6512
23,119,0.3607,0.6393
24,118,0.3725,0.6275
25,117,0.3842,0.6158
26,116,0.3958,0.6042
27,115,0.4073,0.5927
28,115,0.4188,0.5812
29,114,0.4302,0.5698
30,114,0.4416,0.5584
31,114,0.453,0.547
32,114,0.4644,0.5356
33,114,0.4758,0.5242
34,114,0.4872,0.5128
35,114,0.4986,0.5014
36,115,0.5101,0.4899
37,115,0.5216,0.4784
38,115,0.5331,0.4669
39,115,0.5446,0.4554
40,116,0.5562,0.4438
41,116,0.5678,0.4322
42,117,0.5795,0.4205
43,117,0.5912,0.4088
44,117,0.6029,0.3971
45,117,0.6146,0.3854
46,118,0.6264,0.3736
47,118,0.6382,0.3618
48,118,0.65,0.35
49,118,0.6618,0.3382
50,118,0.6736,0.3264
51,118,0.6854,0.3146
52,117,0.6971,0.3029
53,117,0.7088,0.2912
54,116,0.7204,0.2796
55,116,0.732,0.268
56,115,0.7435,0.2565
57,114,0.7549,0.2451
58,112,0.7661,0.2339
59,111,0.7772,0.2228
60,110,0.7882,0.2118
61,108,0.799,0.201
62,106,0.8096,0.1904
63,104,0.82,0.18
64,102,0.8302,0.1698
65,98,0.84,0.16
66,96,0.8496,0.1504
67,93,0.8589,0.1411
68,90,0.8679,0.1321
69,88,0.8767,0.1233
70,85,0.8852,0.1148
71,81,0.8933,0.1067
72,78,0.9011,0.0989
73,75,0.9086,0.0914
74,72,0.9158,0.0842
75,68,0.9226,0.0774
76,65,0.9291,0.0709
77,61,0.9352,0.0648
78,58,0.941,0.059
79,54,0.9464,0.0536
